REF_CLOSING_DESCRIPTION,Attraction,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE,Holidays,Weekends
,Roller Coaster,ATTR,2018-05-11 10:00:00.000,2018-05-11 19:44:00.000,2018-05-12 08:56:04.000,2018-05-11,0,0
,Haunted House,ATTR,2018-05-11 09:32:00.000,2018-05-11 21:29:00.000,2018-05-12 08:56:07.000,2018-05-11,0,0
,Crazy Dance,ATTR,2018-05-11 09:36:00.000,2018-05-11 22:29:00.000,2018-05-12 08:56:03.000,2018-05-11,0,0
,Zipline,ATTR,2018-05-11 08:30:00.000,2018-05-11 22:40:00.000,2018-05-12 08:56:06.000,2018-05-11,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-11 23:59:00.000,2018-05-11 23:59:00.000,2018-05-12 08:56:04.000,2018-05-11,0,0
,Kiddie Coaster,ATTR,2018-05-11 10:00:00.000,2018-05-11 20:12:00.000,2018-05-12 08:56:10.000,2018-05-11,0,0
,Swing Ride,ATTR,2018-05-11 08:30:00.000,2018-05-11 21:54:00.000,2018-05-12 08:56:07.000,2018-05-11,0,0
,Spinning Coaster,ATTR,2018-05-11 08:25:00.000,2018-05-11 22:29:00.000,2018-05-12 08:56:04.000,2018-05-11,0,0
Fermeture Réhab,Bumper Cars,ATTR,2018-05-12 23:59:00.000,2018-05-12 23:59:00.000,2018-05-13 07:41:18.000,2018-05-12,0,1
,Spinning Coaster,ATTR,2018-05-12 08:30:00.000,2018-05-12 22:29:00.000,2018-05-13 07:41:13.000,2018-05-12,0,1
,Go-Karts,ATTR,2018-05-12 08:30:00.000,2018-05-12 22:36:00.000,2018-05-13 07:41:13.000,2018-05-12,0,1
,Spiral Slide,ATTR,2018-05-12 08:30:00.000,2018-05-12 20:28:00.000,2018-05-13 07:41:21.000,2018-05-12,0,1
,Superman Ride,ATTR,2018-05-12 09:28:00.000,2018-05-12 17:00:00.000,2018-05-13 07:41:20.000,2018-05-12,0,1
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-12 23:59:00.000,2018-05-12 23:59:00.000,2018-05-13 07:41:13.000,2018-05-12,0,1
,Himalaya Ride,ATTR,2018-05-12 09:49:00.000,2018-05-12 22:14:00.000,2018-05-13 07:41:14.000,2018-05-12,0,1
,Swing Ride,ATTR,2018-05-12 08:30:00.000,2018-05-12 21:43:00.000,2018-05-13 07:41:17.000,2018-05-12,0,1
,PortAventura World,PARK,2018-05-12 08:30:00.000,2018-05-12 09:30:00.000,2018-05-13 07:41:33.000,2018-05-12,0,1
,Water Ride,ATTR,2018-05-12 08:30:00.000,2018-05-12 21:14:00.000,2018-05-13 07:41:17.000,2018-05-12,0,1
,Giant Wheel,ATTR,2018-05-12 10:00:00.000,2018-05-12 22:44:00.000,2018-05-13 07:41:20.000,2018-05-12,0,1
,Roller Coaster,ATTR,2018-05-12 10:00:00.000,2018-05-12 19:40:00.000,2018-05-13 07:41:13.000,2018-05-12,0,1
,Kiddie Coaster,ATTR,2018-05-12 09:21:00.000,2018-05-12 20:00:00.000,2018-05-13 07:41:18.000,2018-05-12,0,1
,Zipline,ATTR,2018-05-12 08:30:00.000,2018-05-12 22:14:00.000,2018-05-13 07:41:14.000,2018-05-12,0,1
,Free Fall,ATTR,2018-05-12 10:00:00.000,2018-05-12 20:29:00.000,2018-05-13 07:41:21.000,2018-05-12,0,1
,Flying Coaster,ATTR,2018-05-12 09:39:00.000,2018-05-12 22:44:00.000,2018-05-13 07:41:12.000,2018-05-12,0,1
,Dizzy Dropper,ATTR,2018-05-12 08:30:00.000,2018-05-12 21:41:00.000,2018-05-13 07:41:17.000,2018-05-12,0,1
,PortAventura World,PARK,2018-05-12 10:00:00.000,2018-05-12 22:30:00.000,2018-05-13 07:41:33.000,2018-05-12,0,1
,Circus Train,ATTR,2018-05-12 09:06:00.000,2018-05-12 21:11:00.000,2018-05-13 07:41:18.000,2018-05-12,0,1
,Giga Coaster,ATTR,2018-05-12 09:26:00.000,2018-05-12 21:44:00.000,2018-05-13 07:41:18.000,2018-05-12,0,1
Fermeture Réhab,Merry Go Round,ATTR,2018-05-12 23:59:00.000,2018-05-12 23:59:00.000,2018-05-13 07:41:20.000,2018-05-12,0,1
,Haunted House,ATTR,2018-05-12 09:47:00.000,2018-05-12 21:21:00.000,2018-05-13 07:41:17.000,2018-05-12,0,1
,Bungee Jump,ATTR,2018-05-12 09:34:00.000,2018-05-12 22:29:00.000,2018-05-13 07:41:12.000,2018-05-12,0,1
,Drop Tower,ATTR,2018-05-12 08:30:00.000,2018-05-12 21:29:00.000,2018-05-13 07:41:17.000,2018-05-12,0,1
,Crazy Dance,ATTR,2018-05-12 09:25:00.000,2018-05-12 22:14:00.000,2018-05-13 07:41:12.000,2018-05-12,0,1
,Rapids Ride,ATTR,2018-05-12 09:26:00.000,2018-05-12 20:03:00.000,2018-05-13 07:41:18.000,2018-05-12,0,1
,Inverted Coaster,ATTR,2018-05-12 10:00:00.000,2018-05-12 17:00:00.000,2018-05-13 07:41:20.000,2018-05-12,0,1
,Flying Coaster,ATTR,2018-05-13 09:40:00.000,2018-05-13 22:43:00.000,2018-05-14 07:23:47.000,2018-05-13,0,1
,Haunted House,ATTR,2018-05-13 10:00:00.000,2018-05-13 21:19:00.000,2018-05-14 07:23:50.000,2018-05-13,0,1
,Superman Ride,ATTR,2018-05-13 09:30:00.000,2018-05-13 17:00:00.000,2018-05-14 07:23:52.000,2018-05-13,0,1
,Spiral Slide,ATTR,2018-05-13 08:30:00.000,2018-05-13 20:36:00.000,2018-05-14 07:23:54.000,2018-05-13,0,1
,Giga Coaster,ATTR,2018-05-13 10:00:00.000,2018-05-13 21:44:00.000,2018-05-14 07:23:51.000,2018-05-13,0,1
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-13 23:59:00.000,2018-05-13 23:59:00.000,2018-05-14 07:23:48.000,2018-05-13,0,1
,Crazy Dance,ATTR,2018-05-13 09:33:00.000,2018-05-13 22:29:00.000,2018-05-14 07:23:47.000,2018-05-13,0,1
Fermeture Réhab,Bumper Cars,ATTR,2018-05-13 23:59:00.000,2018-05-13 23:59:00.000,2018-05-14 07:23:51.000,2018-05-13,0,1
,Free Fall,ATTR,2018-05-13 10:00:00.000,2018-05-13 20:03:00.000,2018-05-14 07:23:54.000,2018-05-13,0,1
,Roller Coaster,ATTR,2018-05-13 10:00:00.000,2018-05-13 19:44:00.000,2018-05-14 07:23:48.000,2018-05-13,0,1
,PortAventura World,PARK,2018-05-13 10:00:00.000,2018-05-13 22:30:00.000,2018-05-14 07:23:59.000,2018-05-13,0,1
,Spinning Coaster,ATTR,2018-05-13 08:32:00.000,2018-05-13 22:30:00.000,2018-05-14 07:23:48.000,2018-05-13,0,1
,Drop Tower,ATTR,2018-05-13 08:30:00.000,2018-05-13 21:29:00.000,2018-05-14 07:23:50.000,2018-05-13,0,1
,Giant Wheel,ATTR,2018-05-13 10:00:00.000,2018-05-13 22:55:00.000,2018-05-14 07:23:52.000,2018-05-13,0,1
,Dizzy Dropper,ATTR,2018-05-13 08:30:00.000,2018-05-13 21:40:00.000,2018-05-14 07:23:50.000,2018-05-13,0,1
,Swing Ride,ATTR,2018-05-13 08:30:00.000,2018-05-13 21:38:00.000,2018-05-14 07:23:50.000,2018-05-13,0,1
,Himalaya Ride,ATTR,2018-05-13 10:00:00.000,2018-05-13 22:29:00.000,2018-05-14 07:23:49.000,2018-05-13,0,1
Fermeture Réhab,Merry Go Round,ATTR,2018-05-13 23:59:00.000,2018-05-13 23:59:00.000,2018-05-14 07:23:52.000,2018-05-13,0,1
,Bungee Jump,ATTR,2018-05-13 09:23:00.000,2018-05-13 22:35:00.000,2018-05-14 07:23:47.000,2018-05-13,0,1
,Water Ride,ATTR,2018-05-13 08:30:00.000,2018-05-13 21:29:00.000,2018-05-14 07:23:50.000,2018-05-13,0,1
,Zipline,ATTR,2018-05-13 08:30:00.000,2018-05-13 22:28:00.000,2018-05-14 07:23:49.000,2018-05-13,0,1
,Circus Train,ATTR,2018-05-13 10:00:00.000,2018-05-13 21:14:00.000,2018-05-14 07:23:51.000,2018-05-13,0,1
,Go-Karts,ATTR,2018-05-13 08:23:00.000,2018-05-13 22:44:00.000,2018-05-14 07:23:48.000,2018-05-13,0,1
,Kiddie Coaster,ATTR,2018-05-13 10:00:00.000,2018-05-13 20:10:00.000,2018-05-14 07:23:51.000,2018-05-13,0,1
,PortAventura World,PARK,2018-05-13 08:30:00.000,2018-05-13 09:30:00.000,2018-05-14 07:23:59.000,2018-05-13,0,1
,Rapids Ride,ATTR,2018-05-13 10:00:00.000,2018-05-13 20:08:00.000,2018-05-14 07:23:51.000,2018-05-13,0,1
,Inverted Coaster,ATTR,2018-05-13 10:00:00.000,2018-05-13 17:00:00.000,2018-05-14 07:23:52.000,2018-05-13,0,1
Fermeture Réhab,Bumper Cars,ATTR,2018-05-14 23:59:00.000,2018-05-14 23:59:00.000,2018-05-15 07:52:06.000,2018-05-14,0,0
Fermeture Réhab,Merry Go Round,ATTR,2018-05-14 23:59:00.000,2018-05-14 23:59:00.000,2018-05-15 07:52:10.000,2018-05-14,0,0
,Spinning Coaster,ATTR,2018-05-14 08:30:00.000,2018-05-14 22:30:00.000,2018-05-15 07:51:55.000,2018-05-14,0,0
,PortAventura World,PARK,2018-05-14 08:30:00.000,2018-05-14 09:30:00.000,2018-05-15 07:52:33.000,2018-05-14,0,0
,Himalaya Ride,ATTR,2018-05-14 10:00:00.000,2018-05-14 22:33:00.000,2018-05-15 07:52:00.000,2018-05-14,0,0
,Free Fall,ATTR,2018-05-14 10:00:00.000,2018-05-14 20:06:00.000,2018-05-15 07:52:14.000,2018-05-14,0,0
,Dizzy Dropper,ATTR,2018-05-14 08:30:00.000,2018-05-14 21:30:00.000,2018-05-15 07:52:03.000,2018-05-14,0,0
,Circus Train,ATTR,2018-05-14 10:00:00.000,2018-05-14 21:14:00.000,2018-05-15 07:52:06.000,2018-05-14,0,0
,Go-Karts,ATTR,2018-05-14 08:30:00.000,2018-05-14 22:30:00.000,2018-05-15 07:51:55.000,2018-05-14,0,0
,Water Ride,ATTR,2018-05-14 08:30:00.000,2018-05-14 21:31:00.000,2018-05-15 07:52:03.000,2018-05-14,0,0
,Drop Tower,ATTR,2018-05-14 08:30:00.000,2018-05-14 21:30:00.000,2018-05-15 07:52:03.000,2018-05-14,0,0
,Giga Coaster,ATTR,2018-05-14 09:42:00.000,2018-05-14 21:30:00.000,2018-05-15 07:52:06.000,2018-05-14,0,0
,Crazy Dance,ATTR,2018-05-14 09:30:00.000,2018-05-14 22:39:00.000,2018-05-15 07:51:53.000,2018-05-14,0,0
,Roller Coaster,ATTR,2018-05-14 10:00:00.000,2018-05-14 19:56:00.000,2018-05-15 07:51:55.000,2018-05-14,0,0
,PortAventura World,PARK,2018-05-14 10:00:00.000,2018-05-14 22:30:00.000,2018-05-15 07:52:33.000,2018-05-14,0,0
,Swing Ride,ATTR,2018-05-14 08:30:00.000,2018-05-14 21:30:00.000,2018-05-15 07:52:03.000,2018-05-14,0,0
,Spiral Slide,ATTR,2018-05-14 08:30:00.000,2018-05-14 20:32:00.000,2018-05-15 07:52:14.000,2018-05-14,0,0
,Superman Ride,ATTR,2018-05-14 09:30:00.000,2018-05-14 17:18:00.000,2018-05-15 07:52:10.000,2018-05-14,0,0
,Bungee Jump,ATTR,2018-05-14 10:00:00.000,2018-05-14 22:32:00.000,2018-05-15 07:51:53.000,2018-05-14,0,0
,Flying Coaster,ATTR,2018-05-14 09:49:00.000,2018-05-14 22:38:00.000,2018-05-15 07:51:53.000,2018-05-14,0,0
,Rapids Ride,ATTR,2018-05-14 09:52:00.000,2018-05-14 20:08:00.000,2018-05-15 07:52:06.000,2018-05-14,0,0
,Giant Wheel,ATTR,2018-05-14 09:53:00.000,2018-05-14 22:37:00.000,2018-05-15 07:52:10.000,2018-05-14,0,0
,Zipline,ATTR,2018-05-14 08:30:00.000,2018-05-14 22:31:00.000,2018-05-15 07:52:00.000,2018-05-14,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-14 23:59:00.000,2018-05-14 23:59:00.000,2018-05-15 07:51:55.000,2018-05-14,0,0
,Inverted Coaster,ATTR,2018-05-14 10:00:00.000,2018-05-14 17:00:00.000,2018-05-15 07:52:10.000,2018-05-14,0,0
,Haunted House,ATTR,2018-05-14 09:44:00.000,2018-05-14 21:22:00.000,2018-05-15 07:52:03.000,2018-05-14,0,0
,Kiddie Coaster,ATTR,2018-05-14 10:00:00.000,2018-05-14 20:00:00.000,2018-05-15 07:52:06.000,2018-05-14,0,0
,Go-Karts,ATTR,2018-05-15 08:30:00.000,2018-05-15 22:38:00.000,2018-05-16 07:59:37.000,2018-05-15,0,0
,Haunted House,ATTR,2018-05-15 09:40:00.000,2018-05-15 21:30:00.000,2018-05-16 07:59:40.000,2018-05-15,0,0
,Bungee Jump,ATTR,2018-05-15 09:32:00.000,2018-05-15 22:31:00.000,2018-05-16 07:59:36.000,2018-05-15,0,0
,Kiddie Coaster,ATTR,2018-05-15 10:00:00.000,2018-05-15 20:11:00.000,2018-05-16 07:59:42.000,2018-05-15,0,0
,Free Fall,ATTR,2018-05-15 10:00:00.000,2018-05-15 20:15:00.000,2018-05-16 07:59:44.000,2018-05-15,0,0
,Swing Ride,ATTR,2018-05-15 08:30:00.000,2018-05-15 21:42:00.000,2018-05-16 07:59:40.000,2018-05-15,0,0
,Flying Coaster,ATTR,2018-05-15 10:00:00.000,2018-05-15 22:41:00.000,2018-05-16 07:59:36.000,2018-05-15,0,0
,Giant Wheel,ATTR,2018-05-15 09:57:00.000,2018-05-15 22:45:00.000,2018-05-16 07:59:43.000,2018-05-15,0,0
,Roller Coaster,ATTR,2018-05-15 10:00:00.000,2018-05-15 19:58:00.000,2018-05-16 07:59:37.000,2018-05-15,0,0
,Inverted Coaster,ATTR,2018-05-15 10:00:00.000,2018-05-15 17:00:00.000,2018-05-16 07:59:43.000,2018-05-15,0,0
,Spiral Slide,ATTR,2018-05-15 08:30:00.000,2018-05-15 20:31:00.000,2018-05-16 07:59:44.000,2018-05-15,0,0
Fermeture Réhab,Merry Go Round,ATTR,2018-05-15 23:59:00.000,2018-05-15 23:59:00.000,2018-05-16 07:59:43.000,2018-05-15,0,0
,Superman Ride,ATTR,2018-05-15 09:30:00.000,2018-05-15 17:24:00.000,2018-05-16 07:59:43.000,2018-05-15,0,0
,Water Ride,ATTR,2018-05-15 08:30:00.000,2018-05-15 21:30:00.000,2018-05-16 07:59:40.000,2018-05-15,0,0
,Rapids Ride,ATTR,2018-05-15 10:00:00.000,2018-05-15 20:27:00.000,2018-05-16 07:59:42.000,2018-05-15,0,0
,Giga Coaster,ATTR,2018-05-15 09:41:00.000,2018-05-15 21:46:00.000,2018-05-16 07:59:42.000,2018-05-15,0,0
,PortAventura World,PARK,2018-05-15 10:00:00.000,2018-05-15 22:30:00.000,2018-05-16 07:59:55.000,2018-05-15,0,0
,Zipline,ATTR,2018-05-15 08:30:00.000,2018-05-15 22:43:00.000,2018-05-16 07:59:38.000,2018-05-15,0,0
,Himalaya Ride,ATTR,2018-05-15 09:56:00.000,2018-05-15 22:36:00.000,2018-05-16 07:59:38.000,2018-05-15,0,0
Fermeture Réhab,Bumper Cars,ATTR,2018-05-15 23:59:00.000,2018-05-15 23:59:00.000,2018-05-16 07:59:42.000,2018-05-15,0,0
,Spinning Coaster,ATTR,2018-05-15 08:30:00.000,2018-05-15 22:38:00.000,2018-05-16 07:59:37.000,2018-05-15,0,0
,Crazy Dance,ATTR,2018-05-15 09:19:00.000,2018-05-15 22:37:00.000,2018-05-16 07:59:36.000,2018-05-15,0,0
,Dizzy Dropper,ATTR,2018-05-15 08:30:00.000,2018-05-15 21:46:00.000,2018-05-16 07:59:40.000,2018-05-15,0,0
,PortAventura World,PARK,2018-05-15 08:30:00.000,2018-05-15 09:30:00.000,2018-05-16 07:59:55.000,2018-05-15,0,0
,Circus Train,ATTR,2018-05-15 10:00:00.000,2018-05-15 21:14:00.000,2018-05-16 07:59:42.000,2018-05-15,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-15 23:59:00.000,2018-05-15 23:59:00.000,2018-05-16 07:59:37.000,2018-05-15,0,0
,Drop Tower,ATTR,2018-05-15 08:30:00.000,2018-05-15 21:48:00.000,2018-05-16 07:59:40.000,2018-05-15,0,0
Fermeture Réhab,Merry Go Round,ATTR,2018-05-16 23:59:00.000,2018-05-16 23:59:00.000,2018-05-17 08:42:34.000,2018-05-16,0,0
,Swing Ride,ATTR,2018-05-16 08:30:00.000,2018-05-16 21:38:00.000,2018-05-17 08:42:32.000,2018-05-16,0,0
,Water Ride,ATTR,2018-05-16 08:30:00.000,2018-05-16 21:29:00.000,2018-05-17 08:42:32.000,2018-05-16,0,0
,Roller Coaster,ATTR,2018-05-16 10:00:00.000,2018-05-16 19:44:00.000,2018-05-17 08:42:30.000,2018-05-16,0,0
,Free Fall,ATTR,2018-05-16 10:00:00.000,2018-05-16 19:44:00.000,2018-05-17 08:42:36.000,2018-05-16,0,0
,Spiral Slide,ATTR,2018-05-16 08:30:00.000,2018-05-16 20:25:00.000,2018-05-17 08:42:36.000,2018-05-16,0,0
,Go-Karts,ATTR,2018-05-16 08:30:00.000,2018-05-16 22:37:00.000,2018-05-17 08:42:30.000,2018-05-16,0,0
,Bungee Jump,ATTR,2018-05-16 09:27:00.000,2018-05-16 22:31:00.000,2018-05-17 08:42:29.000,2018-05-16,0,0
,Drop Tower,ATTR,2018-05-16 08:30:00.000,2018-05-16 21:42:00.000,2018-05-17 08:42:32.000,2018-05-16,0,0
Fermeture Réhab,Bumper Cars,ATTR,2018-05-16 23:59:00.000,2018-05-16 23:59:00.000,2018-05-17 08:42:33.000,2018-05-16,0,0
,Spinning Coaster,ATTR,2018-05-16 08:30:00.000,2018-05-16 22:29:00.000,2018-05-17 08:42:30.000,2018-05-16,0,0
,Kiddie Coaster,ATTR,2018-05-16 09:51:00.000,2018-05-16 20:10:00.000,2018-05-17 08:42:33.000,2018-05-16,0,0
,PortAventura World,PARK,2018-05-16 08:30:00.000,2018-05-16 09:30:00.000,2018-05-17 08:42:42.000,2018-05-16,0,0
,Dizzy Dropper,ATTR,2018-05-16 08:30:00.000,2018-05-16 21:35:00.000,2018-05-17 08:42:32.000,2018-05-16,0,0
,Flying Coaster,ATTR,2018-05-16 10:00:00.000,2018-05-16 22:42:00.000,2018-05-17 08:42:29.000,2018-05-16,0,0
,Circus Train,ATTR,2018-05-16 10:00:00.000,2018-05-16 21:14:00.000,2018-05-17 08:42:33.000,2018-05-16,0,0
,Superman Ride,ATTR,2018-05-16 09:28:00.000,2018-05-16 17:00:00.000,2018-05-17 08:42:34.000,2018-05-16,0,0
,Inverted Coaster,ATTR,2018-05-16 10:00:00.000,2018-05-16 17:00:00.000,2018-05-17 08:42:34.000,2018-05-16,0,0
,Himalaya Ride,ATTR,2018-05-16 10:00:00.000,2018-05-16 22:40:00.000,2018-05-17 08:42:31.000,2018-05-16,0,0
,Haunted House,ATTR,2018-05-16 09:22:00.000,2018-05-16 21:14:00.000,2018-05-17 08:42:32.000,2018-05-16,0,0
,Zipline,ATTR,2018-05-16 08:19:00.000,2018-05-16 22:29:00.000,2018-05-17 08:42:31.000,2018-05-16,0,0
,Rapids Ride,ATTR,2018-05-16 10:00:00.000,2018-05-16 20:07:00.000,2018-05-17 08:42:33.000,2018-05-16,0,0
,Crazy Dance,ATTR,2018-05-16 09:28:00.000,2018-05-16 22:14:00.000,2018-05-17 08:42:29.000,2018-05-16,0,0
,Giga Coaster,ATTR,2018-05-16 09:53:00.000,2018-05-16 21:29:00.000,2018-05-17 08:42:33.000,2018-05-16,0,0
,Giant Wheel,ATTR,2018-05-16 09:54:00.000,2018-05-16 22:39:00.000,2018-05-17 08:42:34.000,2018-05-16,0,0
,PortAventura World,PARK,2018-05-16 10:00:00.000,2018-05-16 22:30:00.000,2018-05-17 08:42:42.000,2018-05-16,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-16 23:59:00.000,2018-05-16 23:59:00.000,2018-05-17 08:42:30.000,2018-05-16,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-17 23:59:00.000,2018-05-17 23:59:00.000,2018-05-18 08:09:25.000,2018-05-17,0,0
Fermeture Réhab,Merry Go Round,ATTR,2018-05-17 23:59:00.000,2018-05-17 23:59:00.000,2018-05-18 08:09:30.000,2018-05-17,0,0
,Superman Ride,ATTR,2018-05-17 09:30:00.000,2018-05-17 17:00:00.000,2018-05-18 08:09:30.000,2018-05-17,0,0
Fermeture Réhab,Bumper Cars,ATTR,2018-05-17 23:59:00.000,2018-05-17 23:59:00.000,2018-05-18 08:09:29.000,2018-05-17,0,0
,Kiddie Coaster,ATTR,2018-05-17 10:00:00.000,2018-05-17 20:08:00.000,2018-05-18 08:09:29.000,2018-05-17,0,0
,Crazy Dance,ATTR,2018-05-17 09:34:00.000,2018-05-17 22:29:00.000,2018-05-18 08:09:24.000,2018-05-17,0,0
,Spiral Slide,ATTR,2018-05-17 08:30:00.000,2018-05-17 20:28:00.000,2018-05-18 08:09:33.000,2018-05-17,0,0
,Roller Coaster,ATTR,2018-05-17 10:00:00.000,2018-05-17 20:07:00.000,2018-05-18 08:09:25.000,2018-05-17,0,0
,Giga Coaster,ATTR,2018-05-17 10:00:00.000,2018-05-17 21:29:00.000,2018-05-18 08:09:29.000,2018-05-17,0,0
,Bungee Jump,ATTR,2018-05-17 09:25:00.000,2018-05-17 22:35:00.000,2018-05-18 08:09:24.000,2018-05-17,0,0
,Inverted Coaster,ATTR,2018-05-17 09:50:00.000,2018-05-17 17:00:00.000,2018-05-18 08:09:30.000,2018-05-17,0,0
,Water Ride,ATTR,2018-05-17 08:30:00.000,2018-05-17 21:29:00.000,2018-05-18 08:09:28.000,2018-05-17,0,0
,Go-Karts,ATTR,2018-05-17 08:30:00.000,2018-05-17 22:37:00.000,2018-05-18 08:09:25.000,2018-05-17,0,0
,Circus Train,ATTR,2018-05-17 10:00:00.000,2018-05-17 21:18:00.000,2018-05-18 08:09:29.000,2018-05-17,0,0
,Himalaya Ride,ATTR,2018-05-17 10:00:00.000,2018-05-17 22:27:00.000,2018-05-18 08:09:26.000,2018-05-17,0,0
,Dizzy Dropper,ATTR,2018-05-17 08:30:00.000,2018-05-17 21:29:00.000,2018-05-18 08:09:28.000,2018-05-17,0,0
,Haunted House,ATTR,2018-05-17 09:38:00.000,2018-05-17 21:14:00.000,2018-05-18 08:09:28.000,2018-05-17,0,0
,Spinning Coaster,ATTR,2018-05-17 08:30:00.000,2018-05-17 22:28:00.000,2018-05-18 08:09:25.000,2018-05-17,0,0
,Drop Tower,ATTR,2018-05-17 08:30:00.000,2018-05-17 21:43:00.000,2018-05-18 08:09:28.000,2018-05-17,0,0
,Free Fall,ATTR,2018-05-17 10:00:00.000,2018-05-17 19:10:00.000,2018-05-18 08:09:33.000,2018-05-17,0,0
,Rapids Ride,ATTR,2018-05-17 10:00:00.000,2018-05-17 20:25:00.000,2018-05-18 08:09:29.000,2018-05-17,0,0
,Flying Coaster,ATTR,2018-05-17 09:51:00.000,2018-05-17 22:25:00.000,2018-05-18 08:09:24.000,2018-05-17,0,0
,Giant Wheel,ATTR,2018-05-17 09:54:00.000,2018-05-17 22:42:00.000,2018-05-18 08:09:30.000,2018-05-17,0,0
,Zipline,ATTR,2018-05-17 08:30:00.000,2018-05-17 22:33:00.000,2018-05-18 08:09:26.000,2018-05-17,0,0
,PortAventura World,PARK,2018-05-17 10:00:00.000,2018-05-17 22:30:00.000,2018-05-18 08:09:40.000,2018-05-17,0,0
,Swing Ride,ATTR,2018-05-17 08:30:00.000,2018-05-17 21:43:00.000,2018-05-18 08:09:28.000,2018-05-17,0,0
,PortAventura World,PARK,2018-05-17 08:30:00.000,2018-05-17 09:30:00.000,2018-05-18 08:09:40.000,2018-05-17,0,0
,Kiddie Coaster,ATTR,2018-05-18 10:00:00.000,2018-05-18 20:11:00.000,2018-05-19 07:46:58.000,2018-05-18,0,0
,Swing Ride,ATTR,2018-05-18 08:30:00.000,2018-05-18 21:44:00.000,2018-05-19 07:46:56.000,2018-05-18,0,0
,Go-Karts,ATTR,2018-05-18 08:30:00.000,2018-05-18 22:29:00.000,2018-05-19 07:46:54.000,2018-05-18,0,0
,Spiral Slide,ATTR,2018-05-18 08:30:00.000,2018-05-18 20:20:00.000,2018-05-19 07:47:01.000,2018-05-18,0,0
,Roller Coaster,ATTR,2018-05-18 10:00:00.000,2018-05-18 19:43:00.000,2018-05-19 07:46:54.000,2018-05-18,0,0
,Drop Tower,ATTR,2018-05-18 08:30:00.000,2018-05-18 21:44:00.000,2018-05-19 07:46:56.000,2018-05-18,0,0
,Crazy Dance,ATTR,2018-05-18 09:33:00.000,2018-05-18 22:30:00.000,2018-05-19 07:46:53.000,2018-05-18,0,0
,Dizzy Dropper,ATTR,2018-05-18 08:30:00.000,2018-05-18 21:27:00.000,2018-05-19 07:46:56.000,2018-05-18,0,0
,Rapids Ride,ATTR,2018-05-18 10:00:00.000,2018-05-18 20:19:00.000,2018-05-19 07:46:58.000,2018-05-18,0,0
,Giga Coaster,ATTR,2018-05-18 09:24:00.000,2018-05-18 21:44:00.000,2018-05-19 07:46:58.000,2018-05-18,0,0
,PortAventura World,PARK,2018-05-18 10:00:00.000,2018-05-18 22:30:00.000,2018-05-19 07:47:07.000,2018-05-18,0,0
,Inverted Coaster,ATTR,2018-05-18 10:00:00.000,2018-05-18 17:00:00.000,2018-05-19 07:46:59.000,2018-05-18,0,0
,Circus Train,ATTR,2018-05-18 10:00:00.000,2018-05-18 21:29:00.000,2018-05-19 07:46:58.000,2018-05-18,0,0
Fermeture Réhab,Bumper Cars,ATTR,2018-05-18 23:59:00.000,2018-05-18 23:59:00.000,2018-05-19 07:46:58.000,2018-05-18,0,0
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-05-18 23:59:00.000,2018-05-18 23:59:00.000,2018-05-19 07:46:54.000,2018-05-18,0,0
,Free Fall,ATTR,2018-05-18 10:00:00.000,2018-05-18 20:00:00.000,2018-05-19 07:47:01.000,2018-05-18,0,0
,Haunted House,ATTR,2018-05-18 09:43:00.000,2018-05-18 21:18:00.000,2018-05-19 07:46:56.000,2018-05-18,0,0
,Superman Ride,ATTR,2018-05-18 09:22:00.000,2018-05-18 17:00:00.000,2018-05-19 07:46:59.000,2018-05-18,0,0
Fermeture Réhab,Merry Go Round,ATTR,2018-05-18 23:59:00.000,2018-05-18 23:59:00.000,2018-05-19 07:46:59.000,2018-05-18,0,0
,PortAventura World,PARK,2018-05-18 08:30:00.000,2018-05-18 09:30:00.000,2018-05-19 07:47:07.000,2018-05-18,0,0
,Spinning Coaster,ATTR,2018-05-18 08:30:00.000,2018-05-18 22:30:00.000,2018-05-19 07:46:54.000,2018-05-18,0,0
,Water Ride,ATTR,2018-05-18 08:30:00.000,2018-05-18 21:27:00.000,2018-05-19 07:46:56.000,2018-05-18,0,0
,Zipline,ATTR,2018-05-18 08:30:00.000,2018-05-18 22:34:00.000,2018-05-19 07:46:55.000,2018-05-18,0,0
,Bungee Jump,ATTR,2018-05-18 09:25:00.000,2018-05-18 22:30:00.000,2018-05-19 07:46:53.000,2018-05-18,0,0
,Flying Coaster,ATTR,2018-05-18 10:00:00.000,2018-05-18 22:30:00.000,2018-05-19 07:46:53.000,2018-05-18,0,0
,Himalaya Ride,ATTR,2018-05-18 09:53:00.000,2018-05-18 22:36:00.000,2018-05-19 07:46:55.000,2018-05-18,0,0
